vid,timestamp,trip_id,linear_ref,speed,direction,lat,lon,route_length_in_meter,distance_from_route_in_meter
059043867,2017-05-06T14:22:25+07:00,1,0.982187817876863,22,in,7.858067,98.363717,13883,12.478104692
059043867,2017-05-06T14:23:17+07:00,1,0.961708314368837,40,in,7.859267,98.36585,13883,7.69658709
059043867,2017-05-06T14:24:13+07:00,1,0.938942497959623,0,in,7.861,98.368083,13883,9.628369796
059043867,2017-05-06T14:25:11+07:00,1,0.916664811147513,17,in,7.862833,98.370133,13883,8.693364368
059043867,2017-05-06T14:26:08+07:00,1,0.888646054859873,0,in,7.86145,98.37325,13883,9.338535424
059043867,2017-05-06T14:27:05+07:00,1,0.866024692022063,0,in,7.860067,98.375683,13883,6.462451997
059043867,2017-05-06T14:28:04+07:00,1,0.849184918420616,16,in,7.858817,98.37735,13883,7.353895023
059043867,2017-05-06T14:29:00+07:00,1,0.820597929565354,24,in,7.8592,98.380383,13883,3.436946425
059043867,2017-05-06T14:30:03+07:00,1,0.784729633576348,11,in,7.86365,98.3804,13883,8.738915214
059043867,2017-05-06T14:31:00+07:00,1,0.759893358458884,0,in,7.866733,98.38045,13883,14.137677309
059043867,2017-05-06T14:31:58+07:00,1,0.74847390356258,0,in,7.86815,98.380467,13883,17.937216445
059043867,2017-05-06T14:32:57+07:00,1,0.74847390356258,0,in,7.86815,98.380467,13883,17.937216445
059043867,2017-05-06T14:33:53+07:00,1,0.719893796904636,0,in,7.871317,98.379867,13883,7.563870782
059043867,2017-05-06T14:34:54+07:00,2,0.244624724645692,25,out,7.873183,98.378167,16118,1.717712148
059043867,2017-05-06T14:35:53+07:00,2,0.271862088035183,34,out,7.876733,98.379733,16118,6.207178404
059043867,2017-05-06T14:36:52+07:00,2,0.291178884515902,0,out,7.879117,98.381167,16118,1.389713826
059043867,2017-05-06T14:37:51+07:00,2,0.294925664594777,23,out,7.87955,98.3815,16118,9.881572161
059043867,2017-05-06T14:38:48+07:00,2,0.315857441729261,32,out,7.87965,98.384517,16118,8.961170433
059043867,2017-05-06T14:39:48+07:00,2,0.335445049454228,35,out,7.878,98.386633,16118,2.399771047
059043867,2017-05-06T14:40:44+07:00,2,0.361302883044875,6,out,7.875667,98.389467,16118,6.546294463
059043867,2017-05-06T14:41:44+07:00,2,0.382275724526944,20,out,7.876433,98.3924,16118,2.449940117
059043867,2017-05-06T14:42:44+07:00,2,0.391801795405209,16,out,7.876917,98.393683,16118,0.65626896
059043867,2017-05-06T14:43:42+07:00,2,0.405693553043999,0,out,7.8776,98.395567,16118,9.326959072
059043867,2017-05-06T14:44:39+07:00,2,0.413379624464836,7,out,7.87875,98.395633,16118,8.618131698
059043867,2017-05-06T14:45:37+07:00,2,0.438161613540996,29,out,7.8823,98.395283,16118,2.608552207
059043867,2017-05-06T14:46:33+07:00,2,0.46681797168405,8,out,7.8829,98.398467,16118,0.051019435
059043867,2017-05-06T14:47:38+07:00,2,0.486810586505632,28,out,7.884167,98.399483,16118,0.894292949
059043867,2017-05-06T14:48:38+07:00,2,0.501613458619727,18,out,7.886217,98.3989,16118,3.932293058
059043867,2017-05-06T14:49:41+07:00,2,0.527308146981165,31,out,7.889733,98.39775,16118,5.011983147
059043867,2017-05-06T14:50:39+07:00,2,0.563309037318239,38,out,7.890667,98.393133,16118,8.215768673
059043867,2017-05-06T14:51:43+07:00,2,0.587186928871563,19,out,7.8904,98.38985,16118,1.156294815
059043867,2017-05-06T14:52:39+07:00,2,0.608744394197399,23,out,7.88955,98.386867,16118,9.87260719
059043867,2017-05-06T14:53:38+07:00,2,0.618144624508943,34,out,7.8899,98.385983,16118,6.170672702
059043867,2017-05-06T14:54:35+07:00,2,0.654010065768517,22,out,7.89195,98.389283,16118,6.694056251
059043867,2017-05-21T14:56:18+07:00,3,0.978861212069663,10,in,7.85815,98.3641,13883,8.00171657
